"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2018,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Abuso de confianza",0,0,0,0,1,0,0,0,0,0,0,0,1
"Acatlán",2018,"Abuso sexual",0,1,0,0,1,1,0,1,2,0,0,1,7
"Acatlán",2018,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Allanamiento de morada",1,0,0,0,0,1,0,0,0,0,0,0,2
"Acatlán",2018,"Amenazas",2,1,4,1,2,2,1,2,1,4,2,0,22
"Acatlán",2018,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Daño a la propiedad",0,0,1,4,0,3,1,0,0,1,0,1,11
"Acatlán",2018,"Delitos cometidos por servidores públicos",1,0,2,0,1,0,0,0,1,0,0,0,5
"Acatlán",2018,"Despojo",2,0,1,0,2,0,0,0,0,2,0,2,9
"Acatlán",2018,"Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Extorsión",0,0,0,1,1,0,0,0,0,0,0,0,2
"Acatlán",2018,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Fraude",0,0,1,2,0,1,0,0,0,0,0,1,5
"Acatlán",2018,"Homicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Incumplimiento de obligaciones de asistencia familiar",1,0,0,0,0,1,0,1,1,0,0,0,4
"Acatlán",2018,"Lesiones",4,0,5,3,5,2,3,1,4,2,4,2,35
"Acatlán",2018,"Narcomenudeo",0,1,2,0,1,0,0,0,0,0,0,0,4
"Acatlán",2018,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Otros delitos contra la sociedad",1,0,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2018,"Otros delitos del Fuero Común",3,0,2,0,3,4,1,2,1,0,1,1,18
"Acatlán",2018,"Otros delitos que atentan contra la libertad personal",0,0,1,1,0,1,0,0,1,2,1,0,7
"Acatlán",2018,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Robo",4,4,8,4,6,2,1,3,2,6,2,0,42
"Acatlán",2018,"Secuestro",0,0,0,0,0,0,0,0,0,0,1,0,1
"Acatlán",2018,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Violación",0,3,4,0,0,2,0,1,0,0,0,0,10
"Acatlán",2018,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2018,"Violencia familiar",0,2,4,1,1,4,2,3,5,1,5,4,32
"Acatlán",2019,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Abuso de confianza",0,0,1,0,0,0,0,0,0,0,1,0,2
"Acatlán",2019,"Abuso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"Acatlán",2019,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Allanamiento de morada",0,0,0,0,0,0,0,0,0,1,0,0,1
"Acatlán",2019,"Amenazas",0,2,2,0,1,1,1,2,1,2,2,1,15
"Acatlán",2019,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Daño a la propiedad",0,0,3,0,0,0,1,0,1,1,1,1,8
"Acatlán",2019,"Delitos cometidos por servidores públicos",0,1,0,0,0,0,1,1,0,0,0,0,3
"Acatlán",2019,"Despojo",0,1,2,1,4,0,3,1,0,0,0,1,13
"Acatlán",2019,"Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Extorsión",0,0,0,0,0,0,0,0,0,0,1,0,1
"Acatlán",2019,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2019,"Feminicidio",0,0,1,0,0,1,0,0,0,0,0,0,2
